2/3/2008,26.21,66.25,North,8.93,21,100,NNE,3.7,34,34,WNW,9.33,
3/3/2008,25.8,61.55,SSE,9.87,21,78,North,9.33,33,34,Variable,3.7,
4/3/2008,25.89,67.39,Variable,8.75,21,100,NNW,7.4,31,46,Variable,5.63,
5/3/2008,26.09,64.07,Variable,8.88,22,83,North,7.4,32,43,South,9.33,
6/3/2008,27.58,70,SE,12.21,23,94,NNE,9.33,33,49,SE,16.74,
7/3/2008,27.11,73.61,North,12.25,23,100,Variable,1.93,32,55,South,18.51,
8/3/2008,25.64,83.34,NNE,7.97,23,94,Variable,3.7,32,52,SE,11.1,
9/3/2008,26.95,72.12,Variable,6.84,22,100,North,3.7,33,43,North,9.33,
10/3/2008,27.59,67.88,Variable,9.61,23,94,NW,3.7,32,49,Variable,3.7,
11/3/2008,27.98,65.21,SE,10.54,23,94,North,1.93,33,46,Variable,5.63,
12/3/2008,28.05,63.86,SE,11.39,23,94,East,7.4,34,44,Variable,3.7,
13/3/2008,28.23,60.98,SE,14.35,24,78,East,7.4,33,49,SSE,16.74,
14/3/2008,28.09,63.86,SE,13.89,24,83,ESE,13.04,34,44,Variable,5.63,
15/3/2008,28.05,61.41,ESE,12.06,24,83,ENE,3.7,33,46,ENE,9.33,
16/3/2008,27.48,63.77,ESE,14.46,23,88,East,9.33,33,46,SSE,16.74,
17/3/2008,26.95,66.79,ESE,13.66,23,88,ESE,11.1,33,49,South,13.04,
18/3/2008,27.59,71.64,SE,13.16,24,89,SSE,5.63,32,59,South,22.21,
19/3/2008,27.49,76.64,SSE,12.7,25,89,ESE,13.04,33,55,ESE,7.4,
20/3/2008,28.07,73.05,ESE,15.29,25,89,East,11.1,31,62,SSE,20.44,
21/3/2008,27.75,69.59,ESE,16.18,25,89,ESE,11.1,33,55,SSE,11.1,
22/3/2008,28.09,71.55,SE,14.07,25,89,ESE,9.33,33,52,Variable,5.63,
23/3/2008,27.96,71.98,SE,13.43,24,94,Variable,3.7,32,59,South,18.51,
24/3/2008,28.8,61.46,ESE,17.42,25,83,East,7.4,34,41,East,11.1,
25/3/2008,28.57,62.27,SE,14.87,23,88,ENE,3.7,34,46,SE,14.81,
26/3/2008,27.95,71,SE,14.87,25,83,ESE,11.1,32,59,South,16.74,
27/3/2008,27.75,73,SSE,14.1,25,94,Variable,5.63,32,55,Variable,5.63,
28/3/2008,27.49,75.69,SE,14.73,25,89,ESE,9.33,32,59,SSE,13.04,uuu_2:30 PM
29/3/2008,28.04,72.72,SSE,11.81,25,94,SE,7.4,32,55,SSE,11.1,
30/3/2008,27.45,78,SSE,10.07,25,94,South,3.7,32,55,Variable,5.63,
31/3/2008,28.81,70.75,South,9.26,24,100,WNW,3.7,33,49,WNW,7.4,
1/4/2008,28.7,71.88,SE,13.61,26,89,Variable,5.63,34,49,SSE,20.44,
2/4/2008,29.15,66.62,ESE,14.79,26,83,ESE,9.33,34,49,SSE,14.81,
3/4/2008,29.41,66.71,SE,14.97,26,83,ESE,7.4,35,44,NNE,9.33,
4/4/2008,28.88,67.59,SE,14.77,26,89,East,9.33,34,46,SSE,16.74,
5/4/2008,28.78,67.71,East,12.42,25,89,ENE,7.4,32,55,SSE,22.21,
6/4/2008,28.48,72.32,SE,14.44,24,94,North,3.7,34,52,SE,24.14,
7/4/2008,29.09,72,East,15.5,25,94,ENE,5.63,35,49,SSE,20.44,
8/4/2008,29,71.65,SE,14.32,26,89,SE,5.63,34,52,South,24.14,
9/4/2008,29.29,69.71,SSE,11.75,25,94,West,3.7,34,49,ESE,9.33,
10/4/2008,29.06,70.85,SSE,14.01,27,84,South,5.63,33,55,South,16.74,uuu_6:30 AM
11/4/2008,29.27,68.43,SSE,12.28,24,94,Variable,1.93,35,47,SSE,11.1,
12/4/2008,29.48,69.7,SSE,13.25,26,89,East,5.63,34,52,South,14.81,
13/4/2008,29.4,70.21,SSE,13.11,27,84,ESE,7.4,34,52,SSE,16.74,
14/4/2008,30,65.23,SE,14.62,27,79,SE,9.33,35,44,Variable,5.63,
15/4/2008,29.74,68.74,SE,13.34,28,79,SE,11.1,33,55,SSW,18.51,
16/4/2008,29.16,71.91,WSW,8.12,25,94,West,7.4,33,55,Variable,5.63,
17/4/2008,28.55,76.11,South,12.63,27,89,South,9.33,32,66,SSE,25.91,
18/4/2008,26.09,86.04,WNW,6.83,24,100,WNW,5.63,26,89,Variable,3.7,
19/4/2008,28.41,75.23,SSE,11.84,25,100,East,3.7,34,52,SSE,18.51,
20/4/2008,29.16,70.18,SSE,12.28,24,100,Calm,0,34,52,South,11.1,
21/4/2008,29.6,68.51,SSE,13.17,27,84,SSE,7.4,34,52,SSE,7.4,
22/4/2008,29.91,65.66,ESE,16.55,27,79,ESE,5.63,34,52,SSE,18.51,
23/4/2008,29.46,67.95,ESE,15.23,27,84,East,13.04,26,83,SW,20.44,
24/4/2008,29.61,65.68,East,13.3,24,94,North,1.93,37,39,East,16.74,
25/4/2008,29.32,62.68,East,13.08,24,94,NNW,3.7,34,41,NE,13.04,
26/4/2008,27.07,77.64,SE,9.73,26,83,Calm,0,26,89,South,24.14,
27/4/2008,27.27,81.43,Variable,8.75,24,100,Calm,0,32,59,Calm,0,
28/4/2008,27.29,84.23,East,9.12,27,84,ESE,11.1,26,83,SSE,24.14,
29/4/2008,27.4,81.55,NNW,13.18,24,100,North,7.4,29,66,SE,22.21,
30/4/2008,25.43,94.53,Variable,6.13,25,100,WNW,5.63,25,94,WNW,11.1,
1/5/2008,28.08,82.26,Variable,6.62,24,100,Calm,0,33,59,Variable,5.63,
2/5/2008,26.68,90.04,Variable,8.18,26,100,Variable,3.7,32,66,Variable,3.7,
3/5/2008,26.55,86.11,SSW,10.82,24,100,ENE,3.7,29,74,WSW,29.61,
4/5/2008,28.02,78.64,SSW,12.72,23,100,NNW,1.93,33,59,West,18.51,
5/5/2008,29.46,70.71,WSW,13.52,25,94,WSW,1.93,34,52,WSW,14.81,
6/5/2008,27.88,80.79,WSW,8.24,26,94,SW,1.93,33,59,WSW,7.4,
7/5/2008,26.5,88.18,Variable,6.8,24,100,East,5.63,27,79,South,13.04,
8/5/2008,28.24,82.5,WSW,10.04,26,100,West,1.93,32,62,WNW,14.81,
9/5/2008,27.98,84.32,SW,14.64,25,100,West,1.93,31,66,WNW,18.51,
10/5/2008,27.41,83.11,SW,14.46,25,94,SW,13.04,27,79,NNW,5.63,
11/5/2008,26.38,86.11,WSW,14.08,24,94,WSW,9.33,29,74,SW,22.21,
12/5/2008,24.42,93.27,WSW,13.13,23,100,WSW,5.63,25,94,WSW,14.81,
13/5/2008,26.12,84.45,West,12.8,22,100,West,11.1,31,58,West,20.44,
14/5/2008,24.75,90.27,NW,8.8,22,100,NW,5.63,27,79,WNW,13.04,
15/5/2008,25.95,89.6,Variable,8.69,24,100,Variable,1.93,30,66,West,11.1,
16/5/2008,25.38,91.23,Variable,10.14,23,100,East,5.63,27,84,SSW,25.91,
17/5/2008,26.05,88.89,Variable,9.52,23,100,ENE,5.63,29,84,WSW,13.04,
18/5/2008,26.8,88.39,SW,10.97,26,94,SSW,5.63,34,56,WSW,14.81,
19/5/2008,28.14,80.82,WSW,11.75,24,100,North,3.7,32,62,West,13.04,
20/5/2008,27.57,83.3,SW,12.82,26,94,SSW,1.93,26,89,SW,33.31,
21/5/2008,27.18,83.29,SW,11.19,26,89,Variable,3.7,26,83,South,18.51,
22/5/2008,27.68,82.23,SW,10.24,24,100,East,5.63,34,56,SW,14.81,
23/5/2008,26.53,88.55,SW,9.8,24,100,ESE,7.4,31,66,SW,18.51,
24/5/2008,26.65,89.42,WSW,6.87,24,100,East,3.7,33,63,West,7.4,
25/5/2008,27.5,83.95,WSW,9.37,24,100,East,3.7,26,100,South,11.1,
26/5/2008,27.71,83.09,WSW,8.5,26,94,SSE,5.63,34,56,West,11.1,
27/5/2008,28.67,80.8,WSW,11.63,26,100,SW,5.63,32,62,WSW,11.1,
28/5/2008,28.69,76.82,SW,14.88,26,94,SSW,9.33,34,59,SW,14.81,
29/5/2008,28.57,79.54,SSW,12.74,26,94,SSW,7.4,34,56,WSW,11.1,
30/5/2008,29.25,77.18,SSW,11.26,26,100,Variable,5.63,33,59,West,18.51,
31/5/2008,28.38,81.58,WSW,5.08,26,100,WSW,1.93,33,63,NW,5.63,
1/6/2008,28.33,81,Variable,7.05,27,89,South,5.63,25,94,ENE,38.95,
2/6/2008,26.88,89.5,NNE,7.53,24,100,South,5.63,30,74,Calm,0,
3/6/2008,27.82,82.67,NNE,6.27,24,100,NNE,1.93,29,70,NE,9.33,
4/6/2008,28.85,76.67,Variable,7.25,25,100,NE,3.7,33,55,SW,3.7,
5/6/2008,28.93,75.45,SSE,8.52,25,100,NNE,3.7,34,52,South,13.04,
6/6/2008,29.02,75.79,SSE,8.12,26,100,Variable,1.93,32,59,SSE,5.63,
7/6/2008,27.11,86.05,Variable,4.36,25,100,NE,1.93,31,70,Variable,1.93,
8/6/2008,27.8,82.08,SE,6.03,24,100,Variable,1.93,31,66,SE,20.44,
9/6/2008,26.87,87.02,ENE,6.06,24,100,Variable,1.93,32,62,East,11.1,
10/6/2008,27.61,82.86,East,11.85,26,94,East,5.63,29,74,SE,14.81,
11/6/2008,25.32,95.79,East,5.68,25,100,ESE,3.7,25,100,ENE,5.63,
12/6/2008,26.17,86.3,SW,11.62,24,100,SW,11.1,28,74,WSW,22.21,
13/6/2008,1809.82,83.21,WSW,11.93,24,94,SW,14.81,31,62,West,14.81,
14/6/2008,25.98,87.05,WSW,8.63,23,100,East,1.93,32,62,WSW,11.1,
15/6/2008,207.85,80.18,Calm,5.31,24,94,Calm,0,29,66,WSW,22.21,
16/6/2008,27.18,84.18,WSW,6.95,23,100,Calm,0,32,62,West,7.4,
17/6/2008,26.87,86.04,Calm,7.37,24,100,NNE,1.93,33,59,West,9.33,
18/6/2008,26.94,82.2,Variable,4.37,23,100,Calm,0,32,62,Variable,5.63,
19/6/2008,27.82,80.89,WSW,6.47,24,100,Calm,0,32,62,West,13.04,
20/6/2008,28.32,76.16,WSW,7.52,24,100,Variable,1.93,33,52,West,9.33,
21/6/2008,28.6,78.27,WSW,11.61,24,100,SW,5.63,33,59,West,11.1,
22/6/2008,28.95,76.93,WSW,13.89,25,100,WSW,1.93,33,55,West,14.81,
23/6/2008,28.98,75.96,West,12.67,26,94,WSW,5.63,33,59,West,13.04,
24/6/2008,27.36,83.88,SW,14.46,26,89,South,7.4,28,79,SW,22.21,
25/6/2008,27.11,85.77,SW,13.67,25,94,South,5.63,30,79,WSW,14.81,
26/6/2008,27,87.39,SW,12.41,24,100,South,9.33,31,70,SW,14.81,
27/6/2008,28.48,80.12,WSW,11.82,25,100,SW,9.33,32,62,West,7.4,
28/6/2008,28.34,83.07,SW,13.27,26,94,SSW,9.33,34,59,West,11.1,
29/6/2008,28.85,81.33,SW,11.65,26,100,SW,9.33,33,59,West,13.04,uuu_3:00 PM
30/6/2008,27.91,82.22,SW,10.84,26,94,SW,7.4,31,66,SW,11.1,
1/7/2008,27.46,82.52,West,9.49,25,100,Calm,0,33,55,West,11.1,
2/7/2008,27.05,81.84,Variable,7.35,23,100,Variable,1.93,31,66,Variable,3.7,
3/7/2008,28.35,77.95,West,9.37,25,94,WSW,5.63,32,62,WNW,11.1,
4/7/2008,27.35,82.91,WSW,11.19,25,100,WSW,1.93,33,59,WSW,13.04,
5/7/2008,25.91,89.36,Calm,8.11,24,100,Calm,0,32,62,West,14.81,
6/7/2008,26.71,86.45,SW,14.7,24,100,SSW,7.4,25,94,SW,14.81,
7/7/2008,27.71,80.18,WSW,13.99,27,84,SW,11.1,31,66,WSW,16.74,
8/7/2008,26.18,87.25,SW,11.26,24,100,WSW,1.93,32,62,West,7.4,
9/7/2008,27.13,82.87,WSW,7.23,24,94,SSW,3.7,32,62,West,9.33,
10/7/2008,27.93,79.68,WSW,9.45,24,100,SW,3.7,31,62,West,9.33,
11/7/2008,28.27,77.73,West,12.09,25,94,SW,9.33,33,59,West,13.04,
12/7/2008,28.98,76.3,WSW,13.1,25,94,SW,5.63,33,59,WSW,13.04,
13/7/2008,29.4,77.71,SSW,12.71,26,94,SSW,5.63,34,52,WSW,13.04,
14/7/2008,29.25,74.69,SW,9.62,26,89,Variable,1.93,33,59,West,7.4,
