Mean_Wind_Speed,9.4,10,9.6,11.4,13.8,15.5,15.5,14.9,14.2,11.7,11.2,8.7
Min_Wind_Speed,6,6,6,6,6,8,10,10,7,6,7,6
Max_Wind_Speed,14,14,14,24,24,30,21,21,28,20,18,13
Wind_Direction_From,180,180,180,0,0,0,0,0,0,180,180,180
Wind_Direction_To,225,225,225,45,45,45,45,45,45,225,225,225
