x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,TOTAL
569101.7958,1025902.119,1039,5,5,5,5,5,5,12,5,5,81,12,10,5,5,28,458,855,355,20,42,1605,325,23,18,12,85,22,16,57,22,20,4128
562443.3853,1026776.938,1040,5,5,5,5,5,5,16,5,5,92,35,16,5,5,36,5,5,70,28,29,905,88,485,367,235,20,18,23,70,34,35,2662
550663.2421,1021203.975,1041,21,25,17,13,21,29,19,43,55,51,125,185,39,83,33,47,325,443,37,53,57,5,29,37,45,63,75,59,67,47,41,2189
549285.3996,1028493.911,1042,29,23,21,27,27,23,25,223,427,40,91,131,53,48,35,59,235,325,59,41,47,5,87,47,41,51,59,43,49,60,47,2478
552401.0655,1054250.582,1043,5,5,124,325,431,528,377,5,119,72,5,5,5,5,5,5,5,675,5,29,81,484,5,5,5,251,215,221,72,5,5,4084
556992.5906,1049985.118,1044,5,5,5,5,5,5,579,5,139,45,5,5,5,5,5,5,971,5,5,455,425,5,5,5,5,162,63,99,14,50,26,3123
554130.0129,1034740.199,1045,5,5,5,5,5,5,17,5,5,5,5,5,5,5,5,5,5,5,30,110,40,5,5,5,5,20005,7005,125,7005,5,5,34452
559376.5369,1038970.933,1046,5,5,5,5,5,5,13,5,5,5,5,5,5,5,5,5,5,5,21,35,53,5,5,5,5,10005,1055,355,4505,5,5,16157
577102.3942,1045373.446,1047,5,5,5,5,5,5,5,28,11,5,5,5,5,89,5,5,5,5105,4605,105,223,120,5,5,223,103,70,202,41,9,7,11021
589774.8145,1051835.585,1048,5,5,5,5,5,5,5,8,11,10,20,11,17,75,5,5,5,105,55,125,60,27,5,5,27,80,21,29,30,8,6,785
567738.9563,1043484.217,1049,5,5,5,5,5,5,5,15,25,65,17,5,20,23,5,5,5,305,225,100,205,101,5,5,19,31,22,63,34,35,17,1387
565203.8969,1047936.978,1050,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
563583.4199,1052416.329,1051,355,415,455,5,5,5,5,5,5,5,5,5,20,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1415
611007.6144,1070453.402,1052,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
623187.1417,1060908.332,1053,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
626024.661,1046484.528,1054,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
603674.3129,1080272.593,1055,155,145,167,295,45,100,55,355,855,95,181,5,95,57,78,25,70,125,95,78,185,220,725,205,205,85,45,62,55,55,125,5043
607218.8569,1079267.077,1056,85,103,95,135,20,69,27,45,42,22,101,5,27,67,11,29,50,101,115,26,46,100,355,42,60,96,21,57,46,57,120,2175
596334.2619,1080818.638,1057,125,110,139,105,15,85,135,155,95,285,101,5,122,365,87,85,79,91,96,60,65,115,126,135,175,160,125,285,260,360,315,4461
604348.7074,1058654.566,1058,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
611358.768,1063429.699,1059,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
593092.786,1060394.791,1060,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,12,10,5,5,325,178,5,5,5,5,5,666
587716.0383,1070975.175,1061,5,5,5,5,5,5,5,5,305,405,5,5,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5,5,5,205,205,1262
599276.1725,1070859.476,1062,5,47,65,5,5,5,5,5,5,40,5,5,5,5,5,5,5,5,5,5,20,17,5,5,20,5,5,5,5,5,5,334
594372.4253,1074912.734,1063,5,55,61,5,5,7,5,25,35,75,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,10,5,20,5,5,407
611800.1466,1049405.307,1064,5,5,5,5,5,5,5,5,5,5,5,133,5,5,5,5,5,5,1130,5,1580,5,5,5,5,5,5,117,5,5,5,3095
600882.9176,1055606.969,1065,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,69,5,5,5,5,5,5,5,5,5,5,219
587307.0377,1044409.352,1066,5,5,5,5,5,5,5,5,5,5,5,5,5,11,14,5,5,5,5,5,5,5,5,5,13,35,5,19,5,5,5,222
