
null
cycle: 1.0; nbPreys: 204; minEnergyPreys: 0.050039215686274494; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.005000000000000001; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 204; minEnergyPreys: 0.027999999999999997; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.0010000000000000009; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 203; minEnergyPreys: 0.005007843137254886; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.059; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 202; minEnergyPreys: 0.0499803921568627; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.03899999999999999; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 215; minEnergyPreys: 0.001941176470588158; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.018999999999999993; maxSizePredators: 0.98
cycle: 6.0; nbPreys: 218; minEnergyPreys: 0.015611764705882339; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.078; maxSizePredators: 0.96
cycle: 7.0; nbPreys: 214; minEnergyPreys: 0.010000000000000009; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.057999999999999996; maxSizePredators: 0.94
cycle: 8.0; nbPreys: 216; minEnergyPreys: 0.0614950980392156; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.03799999999999999; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 215; minEnergyPreys: 0.011495098039215598; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.01799999999999999; maxSizePredators: 0.98
cycle: 10.0; nbPreys: 228; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.06300000000000006; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 222; minEnergyPreys: 0.0021568627450979233; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.04300000000000005; maxSizePredators: 0.98
cycle: 12.0; nbPreys: 218; minEnergyPreys: 0.010000000000000023; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.02300000000000005; maxSizePredators: 0.96
cycle: 13.0; nbPreys: 212; minEnergyPreys: 0.0034901960784318037; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.0030000000000000512; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 210; minEnergyPreys: 0.01774509803921522; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.06399999999999995; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 207; minEnergyPreys: 0.00405882352941174; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.04399999999999994; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 206; minEnergyPreys: 0.021999999999999867; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.02399999999999994; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 204; minEnergyPreys: 0.002058823529411627; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.003999999999999941; maxSizePredators: 0.98
cycle: 18.0; nbPreys: 201; minEnergyPreys: 0.007705882352941215; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.019999999999999993; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 196; minEnergyPreys: 0.031411764705882236; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.04449999999999989; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 204; minEnergyPreys: 3.921568627438671E-5; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.024499999999999886; maxSizePredators: 0.98
cycle: 21.0; nbPreys: 209; minEnergyPreys: 0.05003921568627439; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.004499999999999886; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 214; minEnergyPreys: 0.011058823529411968; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.005999999999999901; maxSizePredators: 0.98
cycle: 23.0; nbPreys: 215; minEnergyPreys: 0.025596078431372654; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.11999999999999973; maxSizePredators: 1.0
cycle: 24.0; nbPreys: 219; minEnergyPreys: 9.80392156862367E-4; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.2699999999999998; maxSizePredators: 1.0
cycle: 25.0; nbPreys: 223; minEnergyPreys: 0.052483660130719006; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.2499999999999998; maxSizePredators: 1.0
cycle: 26.0; nbPreys: 216; minEnergyPreys: 0.0024836601307190037; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.22999999999999982; maxSizePredators: 1.0
cycle: 27.0; nbPreys: 206; minEnergyPreys: 0.0025882352941161008; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.20999999999999983; maxSizePredators: 1.0
cycle: 28.0; nbPreys: 195; minEnergyPreys: 6.470588235291813E-4; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.18999999999999984; maxSizePredators: 1.0
cycle: 29.0; nbPreys: 183; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.16999999999999985; maxSizePredators: 1.0
cycle: 30.0; nbPreys: 181; minEnergyPreys: 0.008901960784312341; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.14999999999999986; maxSizePredators: 1.0
cycle: 31.0; nbPreys: 177; minEnergyPreys: 0.03333333333333341; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.12999999999999987; maxSizePredators: 1.0
cycle: 32.0; nbPreys: 183; minEnergyPreys: 0.011633986928104521; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.10999999999999986; maxSizePredators: 1.0
cycle: 33.0; nbPreys: 182; minEnergyPreys: 0.002901960784315552; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 34.0; nbPreys: 177; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.06999999999999985; maxSizePredators: 0.98
cycle: 35.0; nbPreys: 173; minEnergyPreys: 0.010000000000000578; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.04999999999999985; maxSizePredators: 1.0
cycle: 36.0; nbPreys: 172; minEnergyPreys: 0.04823529411764774; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
cycle: 37.0; nbPreys: 164; minEnergyPreys: 0.04227843137254947; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 38.0; nbPreys: 164; minEnergyPreys: 0.040539215686275804; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.1133333333333333; maxSizePredators: 1.0
cycle: 39.0; nbPreys: 157; minEnergyPreys: 1.249000902703301E-16; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0
cycle: 40.0; nbPreys: 145; minEnergyPreys: 0.005098039215687036; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.07333333333333329; maxSizePredators: 1.0
cycle: 41.0; nbPreys: 141; minEnergyPreys: 0.004509803921572256; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05333333333333329; maxSizePredators: 1.0
cycle: 42.0; nbPreys: 141; minEnergyPreys: 0.016519607843137843; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 43.0; nbPreys: 136; minEnergyPreys: 0.05102745098039188; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.98
cycle: 44.0; nbPreys: 135; minEnergyPreys: 0.001027450980391878; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.47999999999999954; maxSizePredators: 1.0
cycle: 45.0; nbPreys: 131; minEnergyPreys: 7.91033905045424E-16; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.6199999999999997; maxSizePredators: 0.98
cycle: 46.0; nbPreys: 126; minEnergyPreys: 0.010784313725491004; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.5999999999999996; maxSizePredators: 1.0
cycle: 47.0; nbPreys: 119; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.5799999999999996; maxSizePredators: 1.0
cycle: 48.0; nbPreys: 119; minEnergyPreys: 0.019215686274510077; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.5599999999999996; maxSizePredators: 1.0
cycle: 49.0; nbPreys: 115; minEnergyPreys: 0.010784313725490768; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.5399999999999996; maxSizePredators: 1.0
cycle: 50.0; nbPreys: 108; minEnergyPreys: 0.0011372549019608297; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.5199999999999996; maxSizePredators: 1.0
cycle: 51.0; nbPreys: 105; minEnergyPreys: 0.010980392156864305; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.49999999999999956; maxSizePredators: 1.0
cycle: 52.0; nbPreys: 105; minEnergyPreys: 0.030000000000002892; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.47999999999999954; maxSizePredators: 1.0
cycle: 53.0; nbPreys: 101; minEnergyPreys: 0.003725490196078554; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.49999999999999956; maxSizePredators: 1.0
cycle: 54.0; nbPreys: 96; minEnergyPreys: 0.05407843137255017; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.47999999999999954; maxSizePredators: 1.0
cycle: 55.0; nbPreys: 94; minEnergyPreys: 0.004078431372550165; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.4599999999999995; maxSizePredators: 1.0
cycle: 56.0; nbPreys: 93; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.4399999999999995; maxSizePredators: 1.0
cycle: 57.0; nbPreys: 89; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.6599999999999997; maxSizePredators: 1.0
cycle: 58.0; nbPreys: 89; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.6399999999999997; maxSizePredators: 0.98
cycle: 59.0; nbPreys: 85; minEnergyPreys: 0.04000000000000817; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.6199999999999997; maxSizePredators: 0.96
cycle: 60.0; nbPreys: 84; minEnergyPreys: 0.09764705882353063; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5999999999999996; maxSizePredators: 1.0
cycle: 61.0; nbPreys: 84; minEnergyPreys: 0.047647058823530625; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5799999999999996; maxSizePredators: 1.0
cycle: 62.0; nbPreys: 88; minEnergyPreys: 0.041568627450983414; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5599999999999996; maxSizePredators: 1.0
cycle: 63.0; nbPreys: 87; minEnergyPreys: 0.05941176470588316; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5399999999999996; maxSizePredators: 0.98
cycle: 64.0; nbPreys: 87; minEnergyPreys: 0.036274509803922564; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5199999999999996; maxSizePredators: 0.96
cycle: 65.0; nbPreys: 87; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.49999999999999956; maxSizePredators: 1.0
cycle: 66.0; nbPreys: 92; minEnergyPreys: 0.031764705882363214; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.47999999999999954; maxSizePredators: 0.98
cycle: 67.0; nbPreys: 89; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.4599999999999995; maxSizePredators: 1.0
cycle: 68.0; nbPreys: 83; minEnergyPreys: 0.005882352941177074; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.4399999999999995; maxSizePredators: 1.0
cycle: 69.0; nbPreys: 80; minEnergyPreys: 0.010000000000000023; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.4199999999999995; maxSizePredators: 1.0
cycle: 70.0; nbPreys: 79; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.39999999999999947; maxSizePredators: 1.0
