
cycle: 34.0; nbPreys: 180; minEnergyPreys: 0.04215686274509717; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.010999999999999711; maxSizePredators: 1.0
cycle: 35.0; nbPreys: 177; minEnergyPreys: 0.02352941176470487; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 36.0; nbPreys: 176; minEnergyPreys: 0.005882352941175312; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.06999999999999985; maxSizePredators: 1.0
cycle: 37.0; nbPreys: 175; minEnergyPreys: 0.007843137254901114; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.04999999999999985; maxSizePredators: 0.98
cycle: 38.0; nbPreys: 175; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
cycle: 39.0; nbPreys: 162; minEnergyPreys: 0.011568627450979488; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 40.0; nbPreys: 157; minEnergyPreys: 0.0268627450980385; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.1639999999999995; maxSizePredators: 1.0
cycle: 41.0; nbPreys: 153; minEnergyPreys: 3.469446951953614E-16; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.14399999999999952; maxSizePredators: 1.0
cycle: 42.0; nbPreys: 152; minEnergyPreys: 0.016666666666666455; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.12399999999999951; maxSizePredators: 1.0
cycle: 43.0; nbPreys: 150; minEnergyPreys: 0.019054901960785034; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.10399999999999951; maxSizePredators: 1.0
cycle: 44.0; nbPreys: 144; minEnergyPreys: 3.469446951953614E-16; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.0839999999999995; maxSizePredators: 1.0
cycle: 45.0; nbPreys: 145; minEnergyPreys: 0.015882352941183522; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.0639999999999995; maxSizePredators: 1.0
cycle: 46.0; nbPreys: 140; minEnergyPreys: 2.3592239273284576E-16; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.0439999999999995; maxSizePredators: 1.0
cycle: 47.0; nbPreys: 129; minEnergyPreys: 0.003137254901961331; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.023999999999999497; maxSizePredators: 0.98
cycle: 48.0; nbPreys: 127; minEnergyPreys: 0.04345098039215692; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.003999999999999497; maxSizePredators: 0.96
cycle: 49.0; nbPreys: 124; minEnergyPreys: 0.0034745098039247885; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.16999999999999985; maxSizePredators: 0.94
cycle: 50.0; nbPreys: 122; minEnergyPreys: 0.01666666666666662; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.14999999999999986; maxSizePredators: 0.9199999999999999
cycle: 51.0; nbPreys: 117; minEnergyPreys: 0.009999999999999967; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.12999999999999987; maxSizePredators: 0.8999999999999999
cycle: 52.0; nbPreys: 115; minEnergyPreys: 0.006470588235295074; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.10999999999999986; maxSizePredators: 0.8799999999999999
cycle: 53.0; nbPreys: 114; minEnergyPreys: 0.009607843137254227; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 54.0; nbPreys: 111; minEnergyPreys: 0.04999999999999935; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.06999999999999985; maxSizePredators: 1.0
cycle: 55.0; nbPreys: 112; minEnergyPreys: 0.03803921568627493; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.04999999999999985; maxSizePredators: 1.0
cycle: 56.0; nbPreys: 111; minEnergyPreys: 0.03333333333333341; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
cycle: 57.0; nbPreys: 106; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
