
null
cycle: 1.0; nbPreys: 210; minEnergyPreys: 0.052019607843137236; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.011; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 209; minEnergyPreys: 0.02901960784313723; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03299999999999999; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 212; minEnergyPreys: 0.040980392156862694; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.012999999999999987; maxSizePredators: 0.98
cycle: 4.0; nbPreys: 212; minEnergyPreys: 7.549019607843016E-4; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.006999999999999985; maxSizePredators: 0.96
cycle: 5.0; nbPreys: 206; minEnergyPreys: 0.09990196078431361; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.039999999999999994; maxSizePredators: 0.94
cycle: 6.0; nbPreys: 207; minEnergyPreys: 0.05382352941176455; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.019999999999999993; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 209; minEnergyPreys: 0.008725490196078226; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.13000000000000006; maxSizePredators: 0.98
cycle: 8.0; nbPreys: 213; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.167; maxSizePredators: 0.96
cycle: 9.0; nbPreys: 211; minEnergyPreys: 0.03445098039215662; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.14700000000000002; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 218; minEnergyPreys: 0.010450980392156514; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.12700000000000003; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 214; minEnergyPreys: 0.015254901960783902; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.10700000000000003; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 209; minEnergyPreys: 0.018078431372548737; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.08700000000000002; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 212; minEnergyPreys: 0.01698039215686288; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.06700000000000002; maxSizePredators: 0.98
cycle: 14.0; nbPreys: 214; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.047000000000000014; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 208; minEnergyPreys: 0.0524; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.027000000000000014; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 210; minEnergyPreys: 0.0023999999999999994; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.007000000000000013; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 213; minEnergyPreys: 0.0319411764705875; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.08666666666666667; maxSizePredators: 0.98
cycle: 18.0; nbPreys: 214; minEnergyPreys: 0.04149019607843081; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.06666666666666667; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 219; minEnergyPreys: 0.008156862745097391; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.04666666666666666; maxSizePredators: 1.0
