
null
cycle: 1; nbPreys: 200; minEnergyPreys: 0.057; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.005999999999999998; maxSizePredators: 1.0
cycle: 2; nbPreys: 201; minEnergyPreys: 0.10700000000000001; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.285; maxSizePredators: 0.98
cycle: 3; nbPreys: 205; minEnergyPreys: 0.14839999999999998; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.26499999999999996; maxSizePredators: 0.96
cycle: 4; nbPreys: 222; minEnergyPreys: 0.13399999999999995; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.24499999999999997; maxSizePredators: 1.0
cycle: 5; nbPreys: 228; minEnergyPreys: 0.18399999999999994; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.22499999999999998; maxSizePredators: 1.0
cycle: 6; nbPreys: 227; minEnergyPreys: 0.16499999999999995; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.205; maxSizePredators: 0.98
cycle: 7; nbPreys: 232; minEnergyPreys: 0.21499999999999997; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.185; maxSizePredators: 1.0
cycle: 8; nbPreys: 233; minEnergyPreys: 0.2427700000000002; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.165; maxSizePredators: 0.98
cycle: 9; nbPreys: 236; minEnergyPreys: 0.15900000000000006; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.14500000000000002; maxSizePredators: 1.0
cycle: 10; nbPreys: 246; minEnergyPreys: 0.14277000000000023; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.12500000000000003; maxSizePredators: 1.0
cycle: 11; nbPreys: 253; minEnergyPreys: 0.09277000000000023; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.10500000000000002; maxSizePredators: 1.0
cycle: 12; nbPreys: 259; minEnergyPreys: 0.042770000000000225; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.08500000000000002; maxSizePredators: 1.0
cycle: 13; nbPreys: 257; minEnergyPreys: 0.06324000000000043; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.21749999999999986; maxSizePredators: 0.98
cycle: 14; nbPreys: 269; minEnergyPreys: 0.013240000000000432; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.19749999999999987; maxSizePredators: 1.0
cycle: 15; nbPreys: 275; minEnergyPreys: 0.04840000000000014; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.17749999999999988; maxSizePredators: 1.0
cycle: 16; nbPreys: 281; minEnergyPreys: 0.05032000000000028; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.1574999999999999; maxSizePredators: 1.0
cycle: 17; nbPreys: 282; minEnergyPreys: 3.200000000002784E-4; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.1374999999999999; maxSizePredators: 1.0
cycle: 18; nbPreys: 287; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.1174999999999999; maxSizePredators: 1.0
cycle: 19; nbPreys: 293; minEnergyPreys: 0.041540000000001354; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.09749999999999989; maxSizePredators: 1.0
cycle: 20; nbPreys: 294; minEnergyPreys: 1.249000902703301E-16; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.07749999999999989; maxSizePredators: 1.0
cycle: 21; nbPreys: 305; minEnergyPreys: 0.003799999999999984; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.057499999999999885; maxSizePredators: 1.0
cycle: 22; nbPreys: 304; minEnergyPreys: 0.057600000000000234; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.03749999999999988; maxSizePredators: 1.0
cycle: 23; nbPreys: 300; minEnergyPreys: 0.007600000000000232; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.01749999999999988; maxSizePredators: 1.0
cycle: 24; nbPreys: 300; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.11333333333333327; maxSizePredators: 1.0
cycle: 25; nbPreys: 300; minEnergyPreys: 0.04042000000000043; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.09333333333333327; maxSizePredators: 1.0
cycle: 26; nbPreys: 296; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.07333333333333326; maxSizePredators: 1.0
