
null
cycle: 1.0; nbPreys: 198; minEnergyPreys: 0.058; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.039999999999999994; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 201; minEnergyPreys: 0.02099999999999999; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.019999999999999993; maxSizePredators: 0.98
cycle: 3.0; nbPreys: 200; minEnergyPreys: 0.10125490196078431; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999993; maxSizePredators: 0.96
cycle: 4.0; nbPreys: 203; minEnergyPreys: 0.051254901960784305; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.023999999999999983; maxSizePredators: 0.94
cycle: 5.0; nbPreys: 202; minEnergyPreys: 0.001254901960784302; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.003999999999999983; maxSizePredators: 0.9199999999999999
cycle: 6.0; nbPreys: 203; minEnergyPreys: 0.04514379084967307; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.079; maxSizePredators: 0.8999999999999999
cycle: 7.0; nbPreys: 208; minEnergyPreys: 4.575163398674864E-5; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.059; maxSizePredators: 0.8799999999999999
cycle: 8.0; nbPreys: 215; minEnergyPreys: 0.12675000000000006; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.03899999999999999; maxSizePredators: 0.8599999999999999
cycle: 9.0; nbPreys: 220; minEnergyPreys: 0.07675000000000005; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.018999999999999993; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 225; minEnergyPreys: 0.045372549019607605; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.04600000000000004; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 224; minEnergyPreys: 0.004196078431372249; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.02600000000000004; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 226; minEnergyPreys: 0.02809803921568589; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.00600000000000004; maxSizePredators: 0.98
cycle: 13.0; nbPreys: 224; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.08399999999999995; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 229; minEnergyPreys: 0.03249019607843086; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.06399999999999995; maxSizePredators: 0.98
cycle: 15.0; nbPreys: 230; minEnergyPreys: 0.019803921568627772; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.04399999999999994; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 234; minEnergyPreys: 0.018122549019607748; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.02399999999999994; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 233; minEnergyPreys: 0.026960784313724825; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.003999999999999941; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 230; minEnergyPreys: 0.02499999999999998; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.08599999999999991; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 221; minEnergyPreys: 0.001843137254902219; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.0659999999999999; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 214; minEnergyPreys: 9.803921568618847E-4; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.0459999999999999; maxSizePredators: 1.0
cycle: 21.0; nbPreys: 207; minEnergyPreys: 0.008960784313725666; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.0259999999999999; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 201; minEnergyPreys: 0.008240196078430795; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.27333333333333326; maxSizePredators: 1.0
cycle: 23.0; nbPreys: 196; minEnergyPreys: 0.01601960784313712; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.25333333333333324; maxSizePredators: 1.0
cycle: 24.0; nbPreys: 195; minEnergyPreys: 0.008490196078430504; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.23333333333333325; maxSizePredators: 1.0
cycle: 25.0; nbPreys: 189; minEnergyPreys: 0.013509803921568267; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.21333333333333326; maxSizePredators: 1.0
cycle: 26.0; nbPreys: 181; minEnergyPreys: 0.009941176470587527; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.19333333333333327; maxSizePredators: 1.0
cycle: 27.0; nbPreys: 181; minEnergyPreys: 0.0163960784313726; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.17333333333333328; maxSizePredators: 1.0
cycle: 28.0; nbPreys: 175; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.1533333333333333; maxSizePredators: 1.0
cycle: 29.0; nbPreys: 174; minEnergyPreys: 0.010200980392156566; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.1333333333333333; maxSizePredators: 1.0
cycle: 30.0; nbPreys: 171; minEnergyPreys: 0.029411764705881444; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.1133333333333333; maxSizePredators: 1.0
cycle: 31.0; nbPreys: 169; minEnergyPreys: 0.014705882352940416; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0
cycle: 32.0; nbPreys: 172; minEnergyPreys: 0.014705882352940416; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.07333333333333329; maxSizePredators: 1.0
cycle: 33.0; nbPreys: 164; minEnergyPreys: 0.019411764705882253; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.05333333333333329; maxSizePredators: 1.0
cycle: 34.0; nbPreys: 162; minEnergyPreys: 0.003725490196078554; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 35.0; nbPreys: 159; minEnergyPreys: 0.025509803921567847; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.013333333333333284; maxSizePredators: 1.0
cycle: 36.0; nbPreys: 157; minEnergyPreys: 0.011288888888888918; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.19099999999999948; maxSizePredators: 1.0
cycle: 37.0; nbPreys: 153; minEnergyPreys: 0.006444444444444433; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.17099999999999949; maxSizePredators: 1.0
cycle: 38.0; nbPreys: 151; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1509999999999995; maxSizePredators: 1.0
cycle: 39.0; nbPreys: 148; minEnergyPreys: 0.03501960784313604; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1309999999999995; maxSizePredators: 1.0
cycle: 40.0; nbPreys: 153; minEnergyPreys: 0.002254901960783706; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.1109999999999995; maxSizePredators: 0.98
cycle: 41.0; nbPreys: 152; minEnergyPreys: 0.03735294117647295; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.0909999999999995; maxSizePredators: 1.0
cycle: 42.0; nbPreys: 149; minEnergyPreys: 0.0013725490196068862; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.0709999999999995; maxSizePredators: 1.0
cycle: 43.0; nbPreys: 145; minEnergyPreys: 0.02027941176470556; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.05099999999999949; maxSizePredators: 1.0
cycle: 44.0; nbPreys: 137; minEnergyPreys: 0.12313725490196024; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.03099999999999949; maxSizePredators: 1.0
cycle: 45.0; nbPreys: 140; minEnergyPreys: 0.07313725490196024; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.01099999999999949; maxSizePredators: 1.0
cycle: 46.0; nbPreys: 128; minEnergyPreys: 0.02313725490196024; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.025999999999999735; maxSizePredators: 1.0
cycle: 47.0; nbPreys: 128; minEnergyPreys: 0.01854379084967893; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.005999999999999735; maxSizePredators: 1.0
