
null
cycle: 1.0; nbPreys: 200; minEnergyPreys: 0.016; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.006999999999999999; maxSizePredators: 0.872
cycle: 2.0; nbPreys: 201; minEnergyPreys: 0.066; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.11; maxSizePredators: 0.879
cycle: 3.0; nbPreys: 210; minEnergyPreys: 0.116; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.09; maxSizePredators: 0.9259999999999999
cycle: 4.0; nbPreys: 209; minEnergyPreys: 0.166; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.073; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 208; minEnergyPreys: 0.21600000000000003; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.05299999999999999; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 212; minEnergyPreys: 0.12950000000000006; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.03299999999999999; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 211; minEnergyPreys: 0.17950000000000005; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.012999999999999987; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 211; minEnergyPreys: 0.22950000000000007; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.011000000000000017; maxSizePredators: 0.98
cycle: 9.0; nbPreys: 226; minEnergyPreys: 0.13260000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.26499999999999985; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 237; minEnergyPreys: 0.12155666666666722; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.24499999999999986; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 243; minEnergyPreys: 0.08750000000000006; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.22499999999999987; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 242; minEnergyPreys: 0.03750000000000006; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.20499999999999988; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 249; minEnergyPreys: 0.07058000000000127; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1849999999999999; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 249; minEnergyPreys: 0.020580000000001264; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1649999999999999; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 255; minEnergyPreys: 0.09500000000000024; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1449999999999999; maxSizePredators: 0.98
