
null
cycle: 1.0; nbPreys: 200; minEnergyPreys: 0.066; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.026; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 194; minEnergyPreys: 0.116; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.005999999999999998; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 188; minEnergyPreys: 0.166; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.074; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 185; minEnergyPreys: 0.21600000000000003; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05399999999999999; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 178; minEnergyPreys: 0.266; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03399999999999999; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 172; minEnergyPreys: 0.32300000000000006; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.514; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 169; minEnergyPreys: 0.3730000000000001; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.494; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 165; minEnergyPreys: 0.40949999999999986; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.474; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 157; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.45399999999999996; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 154; minEnergyPreys: 0.18019999999999994; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.8599999999999999; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 159; minEnergyPreys: 0.13019999999999993; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.8399999999999999; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 160; minEnergyPreys: 0.08019999999999992; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.8199999999999998; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 156; minEnergyPreys: 0.03019999999999992; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7999999999999998; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 153; minEnergyPreys: 0.08019999999977061; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7799999999999998; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 149; minEnergyPreys: 0.03019999999999992; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.8339999999999999; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 145; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.8139999999999998; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 143; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7939999999999998; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 140; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7739999999999998; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 135; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7539999999999998; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 131; minEnergyPreys: 0.1264000000000003; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.7339999999999998; maxSizePredators: 1.0
