prey_max_transfert,prey_energy_reproduce,predator_energy_transfert,predator_energy_reproduce
0.5,0.55,1.0,1.0,18.0
0.5,0.55,1.0,1.0,12.0
0.45,0.55,1.0,1.0,5.0
0.45,0.55,1.0,1.0,12.0
0.5,0.6,1.0,1.0,18.0
0.5,0.6,1.0,1.0,9.0
0.5,0.5,1.0,1.0,13.0
0.5,0.5,1.0,1.0,8.0
0.5,0.55,0.9,1.0,10.0
0.5,0.55,0.9,1.0,18.0
0.5,0.55,1.0,0.9,10.0
