
null
cycle: 1; nbPreys: 200; minEnergyPreys: 0.07400000000000001; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05; maxSizePredators: 1.0
cycle: 2; nbPreys: 196; minEnergyPreys: 0.12400000000000001; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.03399999999999999; maxSizePredators: 1.0
cycle: 3; nbPreys: 193; minEnergyPreys: 0.17400000000000002; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.013999999999999988; maxSizePredators: 1.0
cycle: 4; nbPreys: 183; minEnergyPreys: 0.22400000000000003; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.044999999999999984; maxSizePredators: 1.0
cycle: 5; nbPreys: 178; minEnergyPreys: 0.274; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.22966666666666669; maxSizePredators: 1.0
cycle: 6; nbPreys: 170; minEnergyPreys: 0.13520000000000001; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.2096666666666667; maxSizePredators: 1.0
cycle: 7; nbPreys: 169; minEnergyPreys: 0.18520000000000003; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.1896666666666667; maxSizePredators: 1.0
cycle: 8; nbPreys: 167; minEnergyPreys: 0.23520000000000005; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.16966666666666672; maxSizePredators: 1.0
cycle: 9; nbPreys: 163; minEnergyPreys: 0.2852; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.14966666666666673; maxSizePredators: 1.0
cycle: 10; nbPreys: 162; minEnergyPreys: 0.23520000000000002; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.12966666666666674; maxSizePredators: 1.0
cycle: 11; nbPreys: 162; minEnergyPreys: 0.18520000000000003; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.10966666666666673; maxSizePredators: 1.0
cycle: 12; nbPreys: 161; minEnergyPreys: 0.13520000000000004; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.08966666666666673; maxSizePredators: 1.0
cycle: 13; nbPreys: 157; minEnergyPreys: 0.08520000000000004; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.06966666666666672; maxSizePredators: 1.0
cycle: 14; nbPreys: 157; minEnergyPreys: 0.03520000000000004; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.04966666666666672; maxSizePredators: 1.0
cycle: 15; nbPreys: 153; minEnergyPreys: 0.0426666666666666; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.02966666666666672; maxSizePredators: 1.0
cycle: 16; nbPreys: 142; minEnergyPreys: 0.03520000000000009; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.00966666666666672; maxSizePredators: 1.0
cycle: 17; nbPreys: 143; minEnergyPreys: 0.1570000000000003; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.2599999999999998; maxSizePredators: 1.0
cycle: 18; nbPreys: 144; minEnergyPreys: 0.1070000000000003; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.2399999999999998; maxSizePredators: 1.0
cycle: 19; nbPreys: 142; minEnergyPreys: 0.0570000000000003; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.2199999999999998; maxSizePredators: 1.0
cycle: 20; nbPreys: 140; minEnergyPreys: 0.007000000000000298; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 21; nbPreys: 140; minEnergyPreys: 0.012000000000000302; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.17999999999999983; maxSizePredators: 0.98
cycle: 22; nbPreys: 139; minEnergyPreys: 0.023499999999999813; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 23; nbPreys: 141; minEnergyPreys: 0.05000000000000007; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 24; nbPreys: 137; minEnergyPreys: 0.07646666666666667; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 25; nbPreys: 146; minEnergyPreys: 0.026466666666666666; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 26; nbPreys: 149; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 27; nbPreys: 144; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 28; nbPreys: 131; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.03999999999999983; maxSizePredators: 0.98
cycle: 29; nbPreys: 128; minEnergyPreys: 0.016999999999999196; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 30; nbPreys: 129; minEnergyPreys: 2.0122792321330962E-15; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.22966666666666652; maxSizePredators: 0.98
cycle: 31; nbPreys: 119; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.19999999999999987; maxSizePredators: 0.96
cycle: 32; nbPreys: 114; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.17999999999999988; maxSizePredators: 1.0
cycle: 33; nbPreys: 113; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.1599999999999999; maxSizePredators: 1.0
cycle: 34; nbPreys: 115; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.1399999999999999; maxSizePredators: 1.0
cycle: 35; nbPreys: 114; minEnergyPreys: 0.033333333332616094; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.1199999999999999; maxSizePredators: 1.0
cycle: 36; nbPreys: 113; minEnergyPreys: 0.03599999999999956; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.0999999999999999; maxSizePredators: 0.98
cycle: 37; nbPreys: 120; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.07999999999999989; maxSizePredators: 0.96
cycle: 38; nbPreys: 122; minEnergyPreys: 1.5681900222830336E-15; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.05999999999999989; maxSizePredators: 0.94
cycle: 39; nbPreys: 124; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.03999999999999988; maxSizePredators: 1.0
cycle: 40; nbPreys: 120; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.019999999999999882; maxSizePredators: 1.0
cycle: 41; nbPreys: 119; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.029666666666666553; maxSizePredators: 1.0
cycle: 42; nbPreys: 121; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.009666666666666553; maxSizePredators: 1.0
cycle: 43; nbPreys: 118; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.0839999999999994; maxSizePredators: 1.0
cycle: 44; nbPreys: 118; minEnergyPreys: 0.13333333333333378; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.06399999999999939; maxSizePredators: 1.0
cycle: 45; nbPreys: 111; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.04399999999999939; maxSizePredators: 1.0
cycle: 46; nbPreys: 106; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.023999999999999386; maxSizePredators: 1.0
cycle: 47; nbPreys: 105; minEnergyPreys: 0.18999999999999995; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.003999999999999386; maxSizePredators: 1.0
cycle: 48; nbPreys: 111; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.05333333333333326; maxSizePredators: 1.0
cycle: 49; nbPreys: 116; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.03333333333333326; maxSizePredators: 0.98
cycle: 50; nbPreys: 116; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.013333333333333256; maxSizePredators: 0.96
cycle: 51; nbPreys: 116; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
cycle: 52; nbPreys: 121; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.033333333333333284; maxSizePredators: 0.9199999999999999
cycle: 53; nbPreys: 126; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.033333333333333284; maxSizePredators: 0.8999999999999999
cycle: 54; nbPreys: 124; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.9933333333333333
cycle: 55; nbPreys: 126; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 56; nbPreys: 132; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 57; nbPreys: 134; minEnergyPreys: 0.20000000000000007; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 58; nbPreys: 135; minEnergyPreys: 0.15000000000000008; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 59; nbPreys: 132; minEnergyPreys: 0.10000000000000007; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 60; nbPreys: 130; minEnergyPreys: 0.05000000000000007; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 61; nbPreys: 128; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.03999999999999983; maxSizePredators: 1.0
cycle: 62; nbPreys: 132; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 63; nbPreys: 129; minEnergyPreys: 0.24444444444444444; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 64; nbPreys: 128; minEnergyPreys: 0.20000000000000281; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 65; nbPreys: 129; minEnergyPreys: 0.15000000000000294; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 66; nbPreys: 136; minEnergyPreys: 0.10000000000000307; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 67; nbPreys: 135; minEnergyPreys: 0.05000000000000321; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.98
cycle: 68; nbPreys: 135; minEnergyPreys: 3.344546861683284E-15; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 69; nbPreys: 141; minEnergyPreys: 0.13333333333333336; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
