
null
cycle: 1.0; nbPreys: 207; minEnergyPreys: 0.056; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.024999999999999998; maxSizePredators: 0.948
cycle: 2.0; nbPreys: 211; minEnergyPreys: 0.10600000000000001; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.0049999999999999975; maxSizePredators: 0.9279999999999999
cycle: 3.0; nbPreys: 218; minEnergyPreys: 0.07975490196078432; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.014999999999999989; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 218; minEnergyPreys: 0.029754901960784313; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.045999999999999985; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 215; minEnergyPreys: 0.02990196078431358; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.025999999999999985; maxSizePredators: 0.98
cycle: 6.0; nbPreys: 218; minEnergyPreys: 0.027803921568627335; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.0059999999999999845; maxSizePredators: 0.96
cycle: 7.0; nbPreys: 217; minEnergyPreys: 0.011339869281045759; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.14100000000000007; maxSizePredators: 0.94
cycle: 8.0; nbPreys: 214; minEnergyPreys: 0.02099999999999992; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.12100000000000007; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 220; minEnergyPreys: 0.013849673202614057; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.10100000000000006; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 223; minEnergyPreys: 0.1198431372549018; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.08100000000000006; maxSizePredators: 0.98
cycle: 11.0; nbPreys: 230; minEnergyPreys: 0.0698431372549018; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.061000000000000054; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 235; minEnergyPreys: 0.01984313725490179; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.04100000000000005; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 235; minEnergyPreys: 0.03443137254901954; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.02100000000000005; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 236; minEnergyPreys: 0.008225490196078003; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.0010000000000000495; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 240; minEnergyPreys: 8.03921568627422E-4; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.1453333333333333; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 240; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.1253333333333333; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 239; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.10533333333333329; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 232; minEnergyPreys: 0.007833333333332984; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.08533333333333329; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 232; minEnergyPreys: 0.007490196078430891; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.06533333333333328; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 237; minEnergyPreys: 0.020673202614379063; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.04533333333333328; maxSizePredators: 1.0
