
null
cycle: 1.0; nbPreys: 203; minEnergyPreys: 0.058; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.005000000000000001; maxSizePredators: 0.948
cycle: 2.0; nbPreys: 205; minEnergyPreys: 0.10800000000000001; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.041999999999999996; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 208; minEnergyPreys: 0.15800000000000003; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.021999999999999995; maxSizePredators: 0.98
cycle: 4.0; nbPreys: 213; minEnergyPreys: 0.11900000000000004; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.001999999999999995; maxSizePredators: 0.96
cycle: 5.0; nbPreys: 212; minEnergyPreys: 0.06900000000000003; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.077; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 217; minEnergyPreys: 0.01900000000000003; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.056999999999999995; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 214; minEnergyPreys: 0.0030065359477123993; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03699999999999999; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 214; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.01699999999999999; maxSizePredators: 0.98
cycle: 9.0; nbPreys: 210; minEnergyPreys: 0.012568627450980186; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.013000000000000015; maxSizePredators: 0.96
cycle: 10.0; nbPreys: 211; minEnergyPreys: 0.0123039215686271; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.099; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 212; minEnergyPreys: 0.17429411764705868; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.079; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 216; minEnergyPreys: 0.13409803921568614; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.059; maxSizePredators: 0.98
cycle: 13.0; nbPreys: 218; minEnergyPreys: 0.0948823529411763; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.03899999999999999; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 222; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.018999999999999993; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 228; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03399999999999999; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 235; minEnergyPreys: 0.04196078431372549; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.013999999999999988; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 243; minEnergyPreys: 5.88235294117681E-4; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.20699999999999982; maxSizePredators: 0.98
cycle: 18.0; nbPreys: 238; minEnergyPreys: 0.04211764705882334; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.18699999999999983; maxSizePredators: 0.96
cycle: 19.0; nbPreys: 253; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.16699999999999984; maxSizePredators: 0.94
cycle: 20.0; nbPreys: 243; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.14699999999999985; maxSizePredators: 1.0
cycle: 21.0; nbPreys: 245; minEnergyPreys: 0.009529411764706189; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.12699999999999986; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 247; minEnergyPreys: 0.0183137254901964; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.11499999999999984; maxSizePredators: 1.0
cycle: 23.0; nbPreys: 240; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.09499999999999983; maxSizePredators: 1.0
cycle: 24.0; nbPreys: 230; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07499999999999983; maxSizePredators: 0.98
cycle: 25.0; nbPreys: 226; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05499999999999983; maxSizePredators: 1.0
cycle: 26.0; nbPreys: 218; minEnergyPreys: 0.015294117647059915; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03499999999999982; maxSizePredators: 1.0
cycle: 27.0; nbPreys: 218; minEnergyPreys: 2.914335439641036E-16; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.014999999999999823; maxSizePredators: 1.0
cycle: 28.0; nbPreys: 221; minEnergyPreys: 0.007843137254901558; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.02666666666666666; maxSizePredators: 1.0
cycle: 29.0; nbPreys: 208; minEnergyPreys: 0.007843137254901558; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 30.0; nbPreys: 211; minEnergyPreys: 0.0088235294117643; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.18349999999999994; maxSizePredators: 1.0
cycle: 31.0; nbPreys: 208; minEnergyPreys: 0.0017647058823530154; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.16349999999999995; maxSizePredators: 1.0
